regime,arm,dataset,method,lr0,seed,nmse_full,triggered,steps_survived,frac_survived,pre_mean_loss,pre_nmse,pre_median_loss,pre_max_loss,pre_max_excess,pre_n_spike,pre_worst_window
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,0,0.016637749643283357,0,12000,1.0,0.008405883410259283,0.016637749643283357,0.006154978182166815,2.1423234939575195,348.06353987811053,1,0.2268602550867945
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,1,0.03129238185954867,0,12000,1.0,0.01585856454075971,0.03129238185954867,0.01201456505805254,0.6079326868057251,50.5996416739422,0,0.2673474034667015
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,2,0.011051457541102554,0,12000,1.0,0.005576406705685636,0.011051457541102554,0.004012524150311947,0.7507317662239075,187.0971334005661,36,0.11544421821832657
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,3,0.023753147934584884,0,12000,1.0,0.011956324290570716,0.023753147934584884,0.008680140599608421,0.5812227725982666,66.96006429025893,0,0.26023917101323607
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,4,0.007378426220179373,0,12000,1.0,0.003735705224803804,0.007378426220179373,0.002540045650675893,0.6586447954177856,259.3043141734574,0,0.09332981010898948
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,5,0.025297767506260522,0,12000,1.0,0.01274625375521679,0.025297767506260522,0.00934767909348011,0.631950855255127,67.60510806323089,0,0.2656188277900219
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,6,0.008670022827886573,0,12000,1.0,0.004356065994098723,0.008670022827886573,0.0030296649783849716,0.5982579588890076,197.4667044565178,0,0.09190537687391043
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,7,0.018702858086747487,0,12000,1.0,0.009428767899943796,0.018702858086747487,0.006888826843351126,0.4370787739753723,63.44749024969712,28,0.16352926906198262
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,8,0.0314927592327608,0,12000,1.0,0.01586864581016745,0.0314927592327608,0.01241073478013277,0.621103048324585,50.04563060350407,0,0.31623622447252275
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,9,0.020128039668388102,0,12000,1.0,0.010071618003038888,0.020128039668388102,0.007586639374494553,0.36700761318206787,48.375518469469775,3,0.16550793685019016
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,0,0.005180092757153661,0,12000,1.0,0.0026171361334638545,0.005180092757153661,0.001248858985491097,2.1423234939575195,1715.4246547019716,36,0.08490839949809015
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,1,0.006128936204570383,0,12000,1.0,0.0031060636675926123,0.006128936204570383,0.0012990671675652266,0.23819482326507568,183.3583583761198,32,0.07839162360876799
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,2,0.004358925661811008,0,12000,1.0,0.002199451266921584,0.004358925661811008,0.0008417479693889618,0.2669205069541931,317.10264433183596,57,0.05817662909626961
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,3,0.004752894744420068,0,12000,1.0,0.002392405042048953,0.004752894744420068,0.0007937622140161693,0.35652023553848267,449.15244041992173,36,0.07244771558791399
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,4,0.0031380451068873656,0,12000,1.0,0.0015887956525753746,0.0031380451068873656,0.0006849218043498695,0.5318399667739868,776.4973510790935,0,0.05695531575474888
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,5,0.0048504984088948025,0,12000,1.0,0.0024439185609461383,0.0048504984088948025,0.0008083520224317908,0.2788543999195099,344.96653955367543,0,0.07228834348730744
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,6,0.0036978782722829496,0,12000,1.0,0.0018579191902930161,0.00369787827228295,0.0007205269066616893,0.297273188829422,412.5774986068652,96,0.049948980184271935
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,7,0.004681815124365896,0,12000,1.0,0.0023602675031455874,0.004681815124365896,0.000748701102565974,0.4370787739753723,583.7827304880426,59,0.05451988011598587
