regime,arm,method,lr0,ewc0,seed,avg_acc,bwt,collapse,events_stored,n_nonfinite,losses_available,n_spike,max_excess,worst_window_mean,min_task_acc,max_forget,worst_running_avg_acc,final_task_acc,gate_open_frac
E3,cifar100_cohg_lr0.05_ewc1000,cohg,0.05,1000,0,0.34020001739263533,-0.10077778001626332,0,0,0,0,NA,NA,NA,0.23900000751018524,0.14300000667572021,0.31975001841783524,0.44200003147125244,0.0006578947368421052
E3,cifar100_cohg_lr0.05_ewc1000,cohg,0.05,1000,1,0.3732000157237053,-0.059222223030196294,0,0,0,0,NA,NA,NA,0.1860000044107437,0.1340000033378601,0.25699999928474426,0.4540000259876251,0.0006578947368421052
E3,cifar100_cohg_lr0.05_ewc1000,cohg,0.05,1000,2,0.3866000175476074,-0.07455555597941081,0,2,2,0,NA,NA,NA,0.20100000500679016,0.1419999897480011,0.32600000500679016,0.5530000329017639,0.000986842105263158
E3,cifar100_cohg_lr0.05_ewc1000,cohg,0.05,1000,3,0.10000000149011612,-0.26866668462753296,1,401,401,0,NA,NA,NA,0.10000000149011612,0.4690000042319298,0.10000000149011612,0.10000000149011612,0.0006578947368421052
E3,cifar100_cohg_lr0.05_ewc1000,cohg,0.05,1000,4,0.36870001554489135,-0.05600000090069241,0,0,0,0,NA,NA,NA,0.2150000035762787,0.13100001215934753,0.3357500098645687,0.5509999990463257,0.0006578947368421052
E3,cifar100_cohg_lr0.05_ewc1000,cohg,0.05,1000,5,0.10000000149011612,-0.27577779359287685,1,664,664,0,NA,NA,NA,0.10000000149011612,0.38600002974271774,0.10000000149011612,0.10000000149011612,0.0006578947368421052
E3,cifar100_cohg_lr0.05_ewc1000,cohg,0.05,1000,6,0.39120001792907716,-0.03388888968361749,0,0,0,0,NA,NA,NA,0.24500000476837158,0.19300001859664917,0.31200001388788223,0.4360000193119049,0.0006578947368421052
E3,cifar100_cohg_lr0.05_ewc1000,cohg,0.05,1000,7,0.38660002648830416,-0.07466666234864129,0,0,0,0,NA,NA,NA,0.15900000929832458,0.14900001883506775,0.30800001323223114,0.4750000238418579,0.0006578947368421052
E3,cifar100_cohg_lr0.05_ewc1000,cohg,0.05,1000,8,0.30300001353025435,-0.15555556118488312,0,2,2,0,NA,NA,NA,0.14300000667572021,0.25,0.2485000118613243,0.492000013589859,0.000986842105263158
E3,cifar100_cohg_lr0.05_ewc1000,cohg,0.05,1000,9,0.37440002262592315,-0.04933333065774706,0,3,3,0,NA,NA,NA,0.30800002813339233,0.09000000357627869,0.3160000145435333,0.4190000295639038,0.0006578947368421052
E3,cifar100_cohg_lr0.05_ewc10,cohg,0.05,10,0,0.34420001655817034,-0.0948888940943612,0,0,0,0,NA,NA,NA,0.23400001227855682,0.16099998354911804,0.2720000147819519,0.46000000834465027,0.0006578947368421052
E3,cifar100_cohg_lr0.05_ewc10,cohg,0.05,10,1,0.3940000176429749,-0.07444444961018032,0,0,0,0,NA,NA,NA,0.19100001454353333,0.13399997353553772,0.27400001883506775,0.5,0.0006578947368421052
