regime,arm,dataset,method,lr0,seed,nmse,events_stored,gate_open_frac,n_steps,n_finite,n_nonfinite,n_spike,n_event_unified,first_spike_t,median_loss,max_finite_loss,max_excess,worst_window_mean,worst_window_end_t,first_nonfinite_t,mean_loss_finite
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,0,0.016637749643283357,1,0.0004166666666666667,12000,12000,0,1,1,8208,0.006154978182166815,2.1423234939575195,348.06353987811053,0.2268602550867945,99,,0.008405883410259283
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,1,0.03129238185954867,0,0.0009166666666666666,12000,12000,0,0,0,,0.01201456505805254,0.6079326868057251,50.5996416739422,0.2673474034667015,174,,0.01585856454075971
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,2,0.011051457541102554,36,0.0006666666666666666,12000,12000,0,36,36,3998,0.004012524150311947,0.7507317662239075,187.0971334005661,0.11544421821832657,99,,0.005576406705685636
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,3,0.023753147934584884,0,0.0009166666666666666,12000,12000,0,0,0,,0.008680140599608421,0.5812227725982666,66.96006429025893,0.26023917101323607,109,,0.011956324290570716
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,4,0.007378426220179373,0,0.0009166666666666666,12000,12000,0,0,0,,0.002540045650675893,0.6586447954177856,259.3043141734574,0.09332981010898948,101,,0.003735705224803804
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,5,0.025297767506260522,0,0.001,12000,12000,0,0,0,,0.00934767909348011,0.631950855255127,67.60510806323089,0.2656188277900219,104,,0.01274625375521679
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,6,0.008670022827886573,0,0.0009166666666666666,12000,12000,0,0,0,,0.0030296649783849716,0.5982579588890076,197.4667044565178,0.09190537687391043,99,,0.004356065994098723
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,7,0.018702858086747487,28,0.0009166666666666666,12000,12000,0,28,28,8001,0.006888826843351126,0.4370787739753723,63.44749024969712,0.16352926906198262,99,,0.009428767899943796
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,8,0.0314927592327608,0,0.0006666666666666666,12000,12000,0,0,0,,0.01241073478013277,0.621103048324585,50.04563060350407,0.31623622447252275,111,,0.01586864581016745
E2-drift,lorenz_drift_cohg_lr0.003,lorenz,cohg,0.003,9,0.020128039668388102,3,0.0011666666666666668,12000,12000,0,3,3,8043,0.007586639374494553,0.36700761318206787,48.375518469469775,0.16550793685019016,137,,0.010071618003038888
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,0,0.005180092757153661,36,0.00016666666666666666,12000,12000,0,36,36,7999,0.001248858985491097,2.1423234939575195,1715.4246547019716,0.08490839949809015,99,,0.0026171361334638545
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,1,0.006128936204570383,32,0.0004166666666666667,12000,12000,0,32,32,8004,0.0012990671675652266,0.23819482326507568,183.3583583761198,0.07839162360876799,100,,0.0031060636675926123
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,2,0.004358925661811008,57,0.0003333333333333333,12000,12000,0,57,57,3998,0.0008417479693889618,0.2669205069541931,317.10264433183596,0.05817662909626961,99,,0.002199451266921584
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,3,0.004752894744420068,36,0.0003333333333333333,12000,12000,0,36,36,8002,0.0007937622140161693,0.35652023553848267,449.15244041992173,0.07244771558791399,99,,0.002392405042048953
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,4,0.0031380451068873656,0,0.0005833333333333334,12000,12000,0,0,0,,0.0006849218043498695,0.5318399667739868,776.4973510790935,0.05695531575474888,101,,0.0015887956525753746
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,5,0.0048504984088948025,0,0.0005,12000,12000,0,0,0,,0.0008083520224317908,0.2788543999195099,344.96653955367543,0.07228834348730744,99,,0.0024439185609461383
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,6,0.0036978782722829496,96,0.0005,12000,12000,0,96,96,4004,0.0007205269066616893,0.297273188829422,412.5774986068652,0.049948980184271935,99,,0.0018579191902930161
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,7,0.004681815124365896,59,0.0003333333333333333,12000,12000,0,59,59,8001,0.000748701102565974,0.4370787739753723,583.7827304880426,0.05451988011598587,99,,0.0023602675031455874
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,8,0.005873785831110528,0,0.0004166666666666667,12000,12000,0,0,0,,0.0011552422074601054,0.4075504541397095,352.78355613040014,0.08692038303241134,107,,0.002959697060196217
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,9,0.00487564069090751,32,0.0003333333333333333,12000,12000,0,32,32,8014,0.000906472560018301,0.18514657020568848,204.24950337377064,0.05454864641651511,105,,0.0024396608595727053
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,0,0.002679058914311899,97,1.0,12000,12000,0,97,97,4102,0.00010202128760283813,2.1423234939575195,20998.789020360513,0.12499731639632955,99,,0.0013535398335563296
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,1,0.0037899953508195366,117,1.0,12000,12000,0,117,117,144,9.543713531456888e-05,0.5786194801330566,6062.833699124328,0.06057125092949718,99,,0.0019207194310077915
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,2,0.0032343881567605368,171,1.0,12000,12000,0,171,171,3995,0.00012876898108515888,1.4807329177856445,11499.142924850748,0.13407959630712868,99,,0.001632025797418054
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,3,0.0012394544985388277,81,1.0,12000,12000,0,81,81,4013,9.018199489219114e-05,0.20856618881225586,2312.7253845026175,0.03638422705233097,99,,0.0006238886723035061
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,4,0.0017496951517094257,9,1.0,12000,12000,0,9,9,4004,9.415530075784773e-05,0.7415357828140259,7875.666870005934,0.07969731295481325,103,,0.0008858725594054777
